iter	Passed	Remaining
882	18283	2422
883	18303	2401
884	18325	2381
885	18343	2360
886	18364	2339
887	18383	2318
888	18403	2297
889	18423	2277
890	18441	2256
891	18462	2235
892	18483	2214
893	18505	2194
894	18524	2173
895	18541	2152
896	18559	2131
897	18577	2110
898	18598	2089
899	18620	2068
900	18638	2047
901	18659	2027
902	18677	2006
903	18696	1985
904	18716	1964
905	18739	1944
906	18758	1923
907	18777	1902
908	18797	1881
909	18818	1861
910	18841	1840
911	18859	1819
912	18877	1798
913	18896	1778
914	18916	1757
915	18937	1736
916	18963	1716
917	18981	1695
918	19001	1674
919	19020	1653
920	19042	1633
921	19065	1612
922	19084	1592
923	19102	1571
924	19123	1550
925	19143	1529
926	19165	1509
927	19184	1488
928	19201	1467
929	19222	1446
930	19243	1426
931	19264	1405
932	19283	1384
933	19301	1363
934	19320	1343
935	19340	1322
936	19363	1301
937	19387	1281
938	19405	1260
939	19425	1239
940	19445	1219
941	19466	1198
942	19492	1178
943	19513	1157
944	19531	1136
945	19551	1116
946	19570	1095
947	19594	1074
948	19615	1054
949	19637	1033
950	19658	1012
951	19677	992
952	19700	971
953	19718	950
954	19739	930
955	19759	909
956	19777	888
957	19799	868
958	19816	847
959	19836	826
960	19856	805
961	19877	785
962	19896	764
963	19922	744
964	19942	723
965	19961	702
966	19978	681
967	19997	661
968	20024	640
969	20046	620
970	20069	599
971	20091	578
972	20114	558
973	20135	537
974	20155	516
975	20175	496
976	20195	475
977	20219	454
978	20241	434
979	20262	413
980	20286	392
981	20306	372
982	20330	351
983	20353	330
984	20372	310
985	20392	289
986	20413	268
987	20437	248
988	20457	227
989	20474	206
990	20497	186
991	20518	165
992	20541	144
993	20564	124
994	20589	103
995	20608	82
996	20629	62
997	20652	41
998	20669	20
999	20692	0
